year,state,age,gender,race,voter_registration
2020,Arizona,68,Female,100,1.0
2020,Arizona,24,Female,100,0.0
2020,Arizona,31,Male,100,0.0
2020,Arizona,27,Male,100,0.0
2020,Arizona,64,Male,100,0.0
2020,Arizona,63,Female,100,0.0
2020,Arizona,19,Male,100,1.0
2020,Arizona,25,Female,100,1.0
2020,Arizona,61,Female,100,1.0
2020,Arizona,62,Male,100,0.0
2020,Arizona,36,Female,100,1.0
2020,Arizona,48,Male,100,1.0
2020,Arizona,38,Male,100,0.0
2020,Arizona,36,Female,100,0.0
2020,Arizona,55,Male,100,0.0
2020,Arizona,45,Male,100,0.0
2020,Arizona,21,Female,100,1.0
2020,Arizona,56,Male,100,0.0
2020,Arizona,25,Male,100,0.0
2020,Arizona,20,Male,100,0.0
2020,Arizona,29,Female,100,0.0
2020,Arizona,30,Male,100,1.0
2020,Arizona,32,Male,100,0.0
2020,Arizona,48,Female,100,0.0
2020,Arizona,64,Male,100,0.0
2020,Arizona,31,Male,100,1.0
2020,Arizona,18,Male,100,0.0
2020,Arizona,65,Male,100,1.0
2020,Arizona,72,Male,100,1.0
2020,Arizona,38,Female,100,0.0
2020,Arizona,51,Male,100,0.0
2020,Arizona,37,Female,100,1.0
2020,Arizona,39,Male,100,1.0
2020,Arizona,18,Male,100,0.0
2020,Arizona,45,Female,100,0.0
2020,Arizona,27,Male,100,0.0
2020,Arizona,35,Male,100,0.0
2020,Arizona,28,Male,100,0.0
2020,Arizona,41,Female,100,0.0
2020,Arkansas,19,Male,200,1.0
2020,Arkansas,37,Female,100,0.0
2020,Arkansas,40,Male,100,0.0
2020,Arkansas,30,Female,801,0.0
2020,Arkansas,68,Male,100,1.0
2020,Arkansas,85,Male,100,0.0
2020,Arkansas,22,Male,100,0.0
2020,Arkansas,23,Female,300,1.0
2020,Arkansas,36,Female,100,0.0
2020,Arkansas,59,Female,200,0.0
2020,Arkansas,18,Female,100,0.0
2020,Arkansas,22,Female,100,0.0
2020,Arkansas,22,Male,100,0.0
2020,Arkansas,73,Female,100,0.0
2020,Arkansas,49,Female,200,0.0
2020,Arkansas,54,Male,100,1.0
2020,Arkansas,67,Female,100,0.0
2020,Arkansas,20,Male,100,0.0
2020,Arkansas,19,Female,200,0.0
2020,Arkansas,26,Female,100,0.0
2020,Arkansas,57,Female,100,0.0
2020,Arkansas,57,Male,100,0.0
2020,Arkansas,24,Female,651,1.0
2020,Arkansas,27,Male,100,0.0
2020,Arkansas,28,Female,100,0.0
2020,Arkansas,26,Female,100,1.0
2020,Arkansas,23,Male,100,1.0
2020,Arkansas,71,Male,100,0.0
2020,Arkansas,18,Female,651,0.0
2020,Arkansas,48,Male,100,0.0
2020,Arkansas,52,Male,100,0.0
2020,Arkansas,59,Female,100,1.0
2020,Arkansas,19,Female,100,0.0
2020,Arkansas,20,Male,100,0.0
2020,Arkansas,29,Female,100,0.0
2020,Arkansas,78,Female,200,1.0
2020,Arkansas,67,Male,200,1.0
2020,Arkansas,70,Male,100,1.0
2020,Arkansas,68,Female,100,1.0
2020,Arkansas,31,Male,100,1.0
2020,Arkansas,60,Male,100,0.0
2020,Arkansas,34,Male,100,1.0
2020,Arkansas,65,Female,100,0.0
2020,Arkansas,80,Female,100,0.0
2020,Arkansas,80,Female,100,0.0
2020,Arkansas,25,Male,100,1.0
2020,Arkansas,21,Male,100,1.0
2020,Arkansas,23,Female,100,1.0
